sort,id,parent,scheme,context,domain,property,skos_exactMatch,rdfs_comment_en,skos_prefLabel_en,skos_altLabel_en,skos_hiddenLabel_en,skos_prefLabel_de,skos_altLabel_de,skos_prefLabel_fr,skos_altLabel_fr,skos_prefLabel_it,skos_altLabel_it,skos_definition_en
0,http://vocab.performing-arts.ch/ih,,True,Actor,crm:E51_Contact_Point,crm:P2_has_type,,,contact point,,,Kontakt,,contact,,contatto,,
1,http://vocab.performing-arts.ch/ihtxc,http://vocab.performing-arts.ch/ih,False,Actor,,,,,address,,,Adresse,,adresse,,indirizzo,,
2,http://vocab.performing-arts.ch/ihvhu,http://vocab.performing-arts.ch/ih,False,Actor,,,,,telephone,,,Telefon,,téléphone,,numero di telefono,,
3,http://vocab.performing-arts.ch/ihrml,http://vocab.performing-arts.ch/ih,False,Actor,,,,,e-mail,,,E-Mail,,courrier électronique,,e-mail,,
4,http://vocab.performing-arts.ch/ihctx,http://vocab.performing-arts.ch/ih,False,Actor,,,,,website,,,Website,,site web,,sito web,,
5,http://vocab.performing-arts.ch/kn,,True,Actor,crm:E21_Person,crm:P107i_is_current_or_former_member_of,,,gender,,,,,,,,,
6,http://vocab.performing-arts.ch/knsiw,http://vocab.performing-arts.ch/kn,False,Actor,,,aat:300189557; rdagd:1001,,female,,,weiblich,,féminin,,femminile,,
7,http://vocab.performing-arts.ch/knept,http://vocab.performing-arts.ch/kn,False,Actor,,,aat:300189559; rdagd:1002,,male,,,männlich,,masculin,,maschile,,
8,http://vocab.performing-arts.ch/knnvd,http://vocab.performing-arts.ch/kn,False,Actor,,,,,other,,,anderes,,autre,,altro,,
9,http://vocab.performing-arts.ch/ya,,True,Actor,crm:E41_Appellation,crm:P2_has_type,,,appellation,,,,,,,,,
10,http://vocab.performing-arts.ch/yakdx,http://vocab.performing-arts.ch/ya,False,Actor,,,aat:300404650,name of an actor,name,,,Name,,nom,,nome,,
11,http://vocab.performing-arts.ch/yatcx,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404687,commonly used name of a person,common name,preferred name,,Gebräuchlicher Name,Bevorzugter Name,nom d'usage,,nome comunemente usato,nome comune,
12,http://vocab.performing-arts.ch/yadpx,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404681,,birth name,,,Geburtsname,,nom de naissance,,nome di nascita,nome di famiglia,
13,http://vocab.performing-arts.ch/yallb,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404683,,married name,,,Ehename,,nom marital,,nome da sposato/a,,
14,http://vocab.performing-arts.ch/yaajh,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404657,,pseudonym,stage name,,Pseudonym,Bühnenname;Künstlername,pseudonyme,,pseudonimo,nome d'arte,
15,http://vocab.performing-arts.ch/yanuj,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404686,official name of a group or institution,official name,,,Offizieller Name,,nom officiel,,nome ufficiale,,
16,http://vocab.performing-arts.ch/yavtx,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404664,alternative name of a group or institution,alternative name,alias,,Alternativer Name,,nom alternatif,,nome alternativo,,
17,http://vocab.performing-arts.ch/yamqk,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404659,acronym for the name of a group or institution,acronym,,,Akronym,,acronyme,,acronimo,,
18,http://vocab.performing-arts.ch/yasis,http://vocab.performing-arts.ch/yakdx,False,Actor,,,aat:300404658,,generic name,appellation,,Generische Bezeichnung,,nom générique,,nome generico,,
19,http://vocab.performing-arts.ch/yauzw,http://vocab.performing-arts.ch/yakdx,False,Actor,,,,,byline,,,Byline,,byline,,byline,,
20,http://vocab.performing-arts.ch/go,,True,Work,crm:E35_Title,crm:P2_has_type,,,title type,,,Titelart,,titre,,titolo,,
21,http://vocab.performing-arts.ch/gotlb,http://vocab.performing-arts.ch/go,False,Work,,,aat:300417193,title of a work,title,,,Titel,,titre,,titolo,,
